,Temperature (˚C),pH,Sludge Blaket Height (cm),Wet Test Meter (L),Peristaltic Pump Rate (mL/s),Room Tempertaure (˚C),Other Comments
2/13,—,—,86-89 (95 after dump),1500+290+20+0.2=1810.2,3.48 (3.175 before fixing),—,—
2/19,—,7/8,89,1500+290+20+0.5=1810.5,—,—,•pump was turned off (10am)
2/20,—,8,93-94 (after dump),1500+290+20+0.1=1810.1,—,12.1,•pump was turned back on (2:15 pm)
2/27,—,—,80,1550+250+14.9+1.25=1816.15,—,"12.4 (min: 11.4, max: 17.1)",*water not going into reactor 
2/28,—,8,81 (86-87 after dump),—,—,—,*manual dump
3/3,—,—,81-82 ,1550+350+60+1.8=1961.8,—,13.7,—
3/5,~10,—,84 (89-90 after dump),1600+400+80+0.51= 2080.51,—,"13.2 (min: 14.5, max: 11.2)",—
3/10,—,—,--,—,—,—,*Moving the reactor
3/12,—,—,87-88,1600+400+90+1.75=2091.75,—,15.8,—
3/17,,,,,,,
3/19,,,,,,,
3/24,,,,,,,
3/26,,,,,,,
3/31,,,,,,,
4/2,,,,,,,
4/7,,,,,,,
4/9,,,,,,,
4/14,,,,,,,
4/16,,,,,,,
4/21,,,,,,,
4/23,,,,,,,
4/28,,,,,,,
4/30,,,,,,,
5/5,,,,,,,
5/7,,,,,,,
5/12,,,,,,,
5/14,,,,,,,
5/19,,,,,,,
5/21,,,,,,,